,gis_id,chronology,hierarchy,sb_name,su_name,x,z
0,1,10,3,S4,LCN,897.1953,134.202585
1,2,10,3,S4,LCN,3142.7824,124.47562
2,3,10,3,S4,LCN,3797.4044,119.94562
3,4,10,3,S4,LCN,6405.0243,109.00000500000002
4,5,10,3,S4,LCN,7054.1081,106.00000500000002
5,6,10,3,S4,LCN,7171.2851,105.700005
6,7,10,3,S4,LCN,7840.2983,105.640005
7,8,10,3,S4,LCN,9575.507,101.983245
8,9,7,3,S3,BE,9575.507,70.0
9,10,7,3,S3,BE,7840.2983,88.240005
10,11,7,3,S3,BE,7479.7515,85.000005
11,12,7,3,S3,BE,7171.2851,90.800005
12,13,7,3,S3,BE,7054.1081,95.000005
13,14,7,3,S3,BE,6689.9103,96.42971
14,15,7,3,S3,BE,6405.0243,98.000005
15,16,7,3,S3,BE,3797.4044,119.94562
16,17,8,2,S3-1,BEE,7840.2983,88.240005
17,18,8,2,S3-1,BEE,9575.507,84.483245
18,19,6,3,S2,GF,897.1953,134.100005
19,20,6,3,S2,GF,3143.7824,96.47562
20,21,6,3,S2,GF,3797.4044,89.44561999999999
21,22,6,3,S2,GF,6405.0243,86.500005
22,23,6,3,S2,GF,6690.9103,85.62971
23,24,6,3,S2,GF,7054.1081,81.500005
24,25,6,3,S2,GF,7480.7515,76.000005
25,26,6,3,S2,GF,7840.2983,72.440005
26,27,6,3,S2,GF,9576.507,54.983245
27,28,4,2,S1-1,VIM2,9575.507,33.983245
28,29,4,2,S1-1,VIM2,7840.2983,49.240005000000004
29,30,4,2,S1-1,VIM2,7054.1081,61.000005
30,31,4,2,S1-1,VIM2,6689.9103,60.92971
31,32,4,2,S1-1,VIM2,6405.0243,62.500005
32,33,4,2,S1-1,VIM2,4347.2116,88.84362
33,34,3,3,S1,VIM,3797.4044,89.44561999999999
34,35,3,3,S1,VIM,6405.0243,55.000005
35,36,3,3,S1,VIM,6690.9103,52.92971
36,37,3,3,S1,VIM,7055.1081,50.0
37,38,3,3,S1,VIM,7480.7515,45.000005
38,39,3,3,S1,VIM,7840.2983,35.240005000000004
39,40,3,3,S1,VIM,9575.507,33.983245
40,41,5,1,S1-1-1,VIM2-2,9575.507,48.683245
41,42,5,1,S1-1-1,VIM2-2,7840.2983,59.840005
42,43,5,1,S1-1-1,VIM2-2,7480.7515,61.500005
43,44,5,1,S1-1-1,VIM2-2,7054.1081,69.000005
44,45,5,1,S1-1-1,VIM2-2,6690.9103,66.52971
45,46,5,1,S1-1-1,VIM2-2,6405.0243,71.500005
46,47,5,1,S1-1-1,VIM2-2,5183.7602,87.95814999999999
47,48,1,3,S0,C,898.1953,105.5
48,49,1,3,S0,C,3143.7824,78.47562
49,50,1,3,S0,C,3798.4044,74.44561999999999
50,51,1,3,S0,C,6405.0243,55.000005
51,52,2,2,S0-1,C2,897.1953,118.10000500000001
52,53,2,2,S0-1,C2,3142.7824,96.47562
53,54,9,1,S3-1-1,BXE,7054.1081,106.00000500000002
54,55,9,1,S3-1-1,BXE,7171.2851,100.500005
55,56,9,1,S3-1-1,BXE,7840.2983,100.240005
56,57,9,1,S3-1-1,BXE,9575.507,94.983245
57,58,11,2,S4-1,LCN2,6385.0547,123.00000500000002
58,59,11,2,S4-1,LCN2,6405.0243,122.00000500000002
59,60,11,2,S4-1,LCN2,6690.9103,119.92971
60,61,11,2,S4-1,LCN2,7054.1081,118.00000500000002
61,62,11,2,S4-1,LCN2,7172.1081,118.00000500000002
62,63,11,2,S4-1,LCN2,7479.7515,116.38994
63,64,11,2,S4-1,LCN2,7840.2983,113.490005
64,65,11,2,S4-1,LCN2,9575.507,108.98324500000001
65,69,12,3,topo,,892.2109,143.00000500000002
66,70,12,3,topo,,897.1953,143.00000500000002
67,72,12,3,topo,,907.1827,143.00000500000002
68,74,12,3,topo,,917.1701,143.00000500000002
69,76,12,3,topo,,927.1575,143.00000500000002
70,77,12,3,topo,,932.1513,143.00000500000002
71,113,12,3,topo,,1111.9253,143.00000500000002
72,115,12,3,topo,,1121.9127,143.00000500000002
73,116,12,3,topo,,1126.9065,143.00000500000002
74,118,12,3,topo,,1136.8939,143.00000500000002
75,119,12,3,topo,,1141.8875,143.00000500000002
76,121,12,3,topo,,1151.8751,143.00000500000002
77,122,12,3,topo,,1156.8687,143.00000500000002
